"Id","Yard number","Yard name","Sale Date M/D/CY","Day of Week","Sale time (HHMM)","Time Zone","Item#","Lot number","Vehicle Type","Year","Make","Model Group","Model Detail","Body Style","Color","Damage Description","Secondary Damage","Sale Title State","Sale Title Type","Has Keys-Yes or No","Lot Cond. Code","VIN","Odometer","Odometer Brand","Est. Retail Value","Repair cost","Engine","Drive","Transmission","Fuel Type","Cylinders","Runs/Drives","Sale Status","High Bid =non-vix,Sealed=Vix","Special Note","Location city","Location state","Location ZIP","Location country","Currency Code","Image Thumbnail","Create Date/Time","Grid/Row","Make-an-Offer Eligible","Buy-It-Now Price","Image URL","Trim","Last Updated Time"
1,1,"CA - VALLEJO",0,"",1200,"PDT",0,26519090,"V",2010,"MERCEDES-BENZ","G CLASS","GL 450 4MA","4DR SPOR","BLACK","SIDE","REAR END","CA","SC","YES","D","4JGBF7BE5AA585531",172691.0,"A",12563.0,0.0,"4.6L  8","All wheel drive","AUTOMATIC","GAS","8","Run & Drive Verified","Pure Sale","0.0","VEH LOCATED @ FAIRFLD SUBLOT","VALLEJO","CA","94590 7203","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX243/7c1aa179-9345-4915-9576-a3175c7f54b6.JPG","2020-06-30-10.50.12.000197","DD080","N",0.0,"http://inventory.copart.io/v1/lotImages/26519090?country=us&brand=cprt&yardNumber=1","450 4MATIC","2020-06-06T07:01:00Z"
2,1,"CA - VALLEJO",20200702,"THURSDAY",1200,"PDT",0,27573150,"V",2017,"TOYOTA","SIENNA","SIENNA XLE","SPORTS V","GRAY","STRIPPED","FRONT END","CA","SC","YES","E","5TDYZ3DCXHS795095",11558.0,"A",23135.0,20314.23,"3.5L  6","Front-wheel Drive","AUTOMATIC","GAS","6","DEFAULT","Pure Sale","275.0","","VALLEJO","CA","94590 7203","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX244/1c361d52-5ab7-4299-ab0f-550b8de07a76.JPG","2020-06-30-10.50.12.000198","SD003","N",0.0,"http://inventory.copart.io/v1/lotImages/27573150?country=us&brand=cprt&yardNumber=1","XLE","2020-06-29T14:48:47Z"
